participant_id	DELV_A	DELV_B	DELV_Status
5090	1	12	Mainstream American English
5091	1	14	Mainstream American English
5094	n/a	n/a	n/a
5095	n/a	n/a	n/a
5099	n/a	n/a	n/a
5100	n/a	n/a	n/a
5102	n/a	n/a	n/a
5103	0	14	Mainstream American English
5104	0	15	Mainstream American English
5105	0	14	Mainstream American English
5108	n/a	n/a	n/a
5109	1	14	Mainstream American English
5110	n/a	n/a	n/a
5111	n/a	n/a	n/a
5117	n/a	n/a	n/a
5118	n/a	n/a	n/a
5120	1	11	Some Variation from MAE
5121	0	15	Mainstream American English
5122	n/a	n/a	n/a
5123	n/a	n/a	n/a
5125	0	15	Mainstream American English
5126	0	12	Mainstream American English
5136	0	15	Mainstream American English
5137	n/a	n/a	n/a
5138	n/a	n/a	n/a
5139	n/a	n/a	n/a
5140	0	15	Mainstream American English
5141	n/a	n/a	n/a
5143	n/a	n/a	n/a
5144	n/a	n/a	n/a
5147	0	15	Mainstream American English
5148	n/a	n/a	n/a
5149	1	14	Mainstream American English
5150	n/a	n/a	n/a
5151	0	14	Mainstream American English
5153	0	14	Mainstream American English
5154	n/a	n/a	n/a
5157	0	14	Mainstream American English
5158	1	14	Mainstream American English
5159	n/a	n/a	n/a
5160	2	10	Some Variation from MAE
5161	0	15	Mainstream American English
5162	0	15	Mainstream American English
5163	1	14	Mainstream American English
5164	n/a	n/a	n/a
5165	n/a	n/a	n/a
5166	1	13	Mainstream American English
5167	n/a	n/a	n/a
5169	1	13	Mainstream American English
5171	n/a	n/a	n/a
5172	n/a	n/a	n/a
5173	n/a	n/a	n/a
5177	n/a	n/a	n/a
5179	n/a	n/a	n/a
5182	n/a	n/a	n/a
5183	n/a	n/a	n/a
5185	n/a	n/a	n/a
5186	0	12	Mainstream American English
5187	0	14	Mainstream American English
5188	n/a	n/a	n/a
5189	n/a	n/a	n/a
5190	n/a	n/a	n/a
5192	0	14	Mainstream American English
5193	n/a	n/a	n/a
5194	n/a	n/a	n/a
5198	n/a	n/a	n/a
5199	n/a	n/a	n/a
5200	0	15	Mainstream American English
5201	1	13	Mainstream American English
5204	n/a	n/a	n/a
5205	n/a	n/a	n/a
5207	n/a	n/a	n/a
5211	0	15	Mainstream American English
5213	0	13	Mainstream American English
5215	0	15	Mainstream American English
5216	n/a	n/a	n/a
5217	0	14	Mainstream American English
5218	n/a	n/a	n/a
5220	n/a	n/a	n/a
5222	1	13	Mainstream American English
5223	n/a	n/a	n/a
5224	n/a	n/a	n/a
5226	0	14	Mainstream American English
5227	1	13	Mainstream American English
5229	1	13	Mainstream American English
5231	0	13	Mainstream American English
5233	0	15	Mainstream American English
5237	2	13	Mainstream American English
5242	n/a	n/a	n/a
5244	1	14	Mainstream American English
5246	0	15	Mainstream American English
5247	n/a	n/a	n/a
5250	n/a	n/a	n/a
5252	n/a	n/a	n/a
5255	n/a	n/a	n/a
5256	n/a	n/a	n/a
5258	1	14	Mainstream American English
5259	n/a	n/a	n/a
5260	n/a	n/a	n/a
5262	n/a	n/a	n/a
5267	n/a	n/a	n/a
5270	n/a	n/a	n/a
5272	n/a	n/a	n/a
5274	n/a	n/a	n/a
5280	n/a	n/a	n/a
5282	n/a	n/a	n/a
5286	n/a	n/a	n/a
5287	n/a	n/a	n/a
5289	n/a	n/a	n/a
5290	1	13	Mainstream American English
5295	n/a	n/a	n/a
5300	n/a	n/a	n/a
5301	n/a	n/a	n/a
5302	n/a	n/a	n/a
5304	1	14	Mainstream American English
5307	0	14	Mainstream American English
5308	0	14	Mainstream American English
5310	n/a	n/a	n/a
5311	n/a	n/a	n/a
5312	0	13	Mainstream American English
5314	n/a	n/a	n/a
5316	n/a	n/a	n/a
5317	1	13	Mainstream American English
5325	n/a	n/a	n/a
5328	n/a	n/a	n/a
5330	n/a	n/a	n/a
5332	n/a	n/a	n/a
5334	1	14	Mainstream American English
5336	n/a	n/a	n/a
5338	n/a	n/a	n/a
5341	n/a	n/a	n/a
5342	n/a	n/a	n/a
5344	n/a	n/a	n/a
5347	n/a	n/a	n/a
5348	n/a	n/a	n/a
5352	n/a	n/a	n/a
5354	n/a	n/a	n/a
5355	n/a	n/a	n/a
5357	2	13	Mainstream American English
5358	n/a	n/a	n/a
5362	n/a	n/a	n/a
5363	n/a	n/a	n/a
5365	0	14	Mainstream American English
5367	0	13	Mainstream American English
5369	1	12	Mainstream American English
5370	0	15	Mainstream American English
5371	n/a	n/a	n/a
5372	1	13	Mainstream American English
5374	4	11	Mainstream American English
5376	n/a	n/a	n/a
5378	n/a	n/a	n/a
5379	2	11	Some Variation from MAE
5380	n/a	n/a	n/a
5382	n/a	n/a	n/a
5385	n/a	n/a	n/a
5386	n/a	n/a	n/a
5388	1	12	Mainstream American English
5389	0	13	Mainstream American English
5391	n/a	n/a	n/a
5393	2	12	Mainstream American English
5395	n/a	n/a	n/a
5398	n/a	n/a	n/a
5400	0	14	Mainstream American English
5403	n/a	n/a	n/a
5404	2	11	Some Variation from MAE
5405	n/a	n/a	n/a
5406	1	13	Mainstream American English
5407	n/a	n/a	n/a
5408	n/a	n/a	n/a
5409	1	12	Mainstream American English
5413	n/a	n/a	n/a
5414	2	13	Mainstream American English
5417	n/a	n/a	n/a
5420	n/a	n/a	n/a
5425	n/a	n/a	n/a
5428	n/a	n/a	n/a
5430	3	11	Some Variation from MAE
5435	3	10	Some Variation from MAE
5438	n/a	n/a	n/a
5439	n/a	n/a	n/a
5443	n/a	n/a	n/a
5445	2	13	Mainstream American English
5446	n/a	n/a	n/a
5447	0	12	Mainstream American English
5448	n/a	n/a	n/a
5452	n/a	n/a	n/a
5457	n/a	n/a	n/a
5460	1	14	Mainstream American English
5462	n/a	n/a	n/a
5463	n/a	n/a	n/a
5464	n/a	n/a	n/a
5468	n/a	n/a	n/a
5471	n/a	n/a	n/a
5472	n/a	n/a	n/a
5474	n/a	n/a	n/a
5475	n/a	n/a	n/a
5476	2	12	Mainstream American English
5477	n/a	n/a	n/a
5478	n/a	n/a	n/a
5479	n/a	n/a	n/a
5480	1	11	Some Variation from MAE
5482	n/a	n/a	n/a
5486	n/a	n/a	n/a
5489	n/a	n/a	n/a
5492	n/a	n/a	n/a
5493	n/a	n/a	n/a
5495	n/a	n/a	n/a
5496	n/a	n/a	n/a
5497	n/a	n/a	n/a
5499	n/a	n/a	n/a
5501	n/a	n/a	n/a
5502	n/a	n/a	n/a
5503	n/a	n/a	n/a
5507	n/a	n/a	n/a
5508	n/a	n/a	n/a
5510	n/a	n/a	n/a
5513	n/a	n/a	n/a
5514	n/a	n/a	n/a
5516	n/a	n/a	n/a
5519	n/a	n/a	n/a
5520	n/a	n/a	n/a
5524	n/a	n/a	n/a
5526	n/a	n/a	n/a
5527	n/a	n/a	n/a
5528	n/a	n/a	n/a
5529	n/a	n/a	n/a
5531	n/a	n/a	n/a
5534	n/a	n/a	n/a
5536	n/a	n/a	n/a
5537	n/a	n/a	n/a
5541	n/a	n/a	n/a
5543	n/a	n/a	n/a
5544	n/a	n/a	n/a
5547	n/a	n/a	n/a
5550	n/a	n/a	n/a
5551	n/a	n/a	n/a
5553	n/a	n/a	n/a
5555	n/a	n/a	n/a
5556	n/a	n/a	n/a
5558	n/a	n/a	n/a
5559	n/a	n/a	n/a
5560	n/a	n/a	n/a
5561	n/a	n/a	n/a
5562	n/a	n/a	n/a
5565	n/a	n/a	n/a
5567	n/a	n/a	n/a
5571	n/a	n/a	n/a
5573	n/a	n/a	n/a
5574	n/a	n/a	n/a
5579	n/a	n/a	n/a
5580	n/a	n/a	n/a
5581	n/a	n/a	n/a
5584	n/a	n/a	n/a
5587	n/a	n/a	n/a
5588	n/a	n/a	n/a
5589	n/a	n/a	n/a
